epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.003,1.5786,3.35363,1.03332,0.00138,0.19989,0.05624,0.03622,1.46827,4.28593,0.98449,0.000464425,0.000464425,0.000464425
2,523.978,1.56617,2.07102,1.01623,0.98889,0.0158,0.11273,0.06581,1.51834,3.62229,1.04252,0.000894191,0.000894191,0.000894191
3,1942.39,1.52941,1.87299,1.04225,0.92289,0.15746,0.18881,0.08299,1.58322,2.40781,1.03731,0.0012768,0.0012768,0.0012768
4,5243.53,1.51375,1.65075,1.01685,0.92503,0.17211,0.22376,0.12655,1.45391,1.69446,1.01404,0.00121679,0.00121679,0.00121679
5,5528.24,1.4995,1.48841,1.01458,0.94378,0.19771,0.24383,0.13861,1.36633,1.53397,1.00437,0.00114606,0.00114606,0.00114606
6,5807.68,1.40232,1.36107,0.98936,0.93352,0.21514,0.23482,0.13198,1.42797,1.31652,0.99786,0.00107532,0.00107532,0.00107532
7,6075.85,1.40041,1.22632,0.98467,0.95231,0.22495,0.26797,0.15245,1.34472,1.22024,0.97758,0.00100459,0.00100459,0.00100459
8,6351.2,1.34727,1.16105,0.97075,0.94815,0.22495,0.27989,0.15457,1.32716,1.16136,0.97993,0.000933851,0.000933851,0.000933851
9,6628.85,1.3563,1.1036,0.98079,0.63682,0.27821,0.31877,0.17905,1.32031,1.08866,0.96589,0.000863116,0.000863116,0.000863116
10,6906.04,1.33709,1.07172,0.95981,0.95862,0.23056,0.32662,0.18871,1.24038,1.02002,0.95787,0.00079238,0.00079238,0.00079238
11,7174.04,1.26573,1.01165,0.94136,0.57977,0.28312,0.52423,0.30818,1.25972,1.0102,0.95613,0.000721645,0.000721645,0.000721645
12,7447.42,1.21618,0.96878,0.94066,0.59982,0.29444,0.41637,0.21871,1.26201,0.9439,0.95197,0.000650909,0.000650909,0.000650909
13,7727.65,1.21978,0.94106,0.92987,0.59987,0.34542,0.46095,0.24659,1.24023,0.91225,0.95118,0.000580174,0.000580174,0.000580174
14,8005.54,1.18825,0.88253,0.92959,0.56396,0.36404,0.47843,0.26173,1.20913,0.88788,0.9436,0.000509438,0.000509438,0.000509438
15,8284.83,1.15931,0.84595,0.92693,0.66292,0.40968,0.54599,0.32669,1.18419,0.84622,0.9405,0.000438703,0.000438703,0.000438703
16,8606.36,1.15427,0.82185,0.91234,0.54046,0.40001,0.49015,0.29783,1.18223,0.83844,0.94718,0.000367967,0.000367967,0.000367967
17,8895.35,1.14551,0.80088,0.92106,0.66236,0.51155,0.52866,0.31371,1.17653,0.80215,0.94301,0.000297232,0.000297232,0.000297232
18,9171.9,1.15137,0.78717,0.92358,0.87731,0.42162,0.56791,0.35103,1.10909,0.77025,0.93178,0.000226497,0.000226497,0.000226497
19,9439.33,1.11733,0.7653,0.91118,0.79478,0.472,0.56333,0.35087,1.09932,0.7502,0.92114,0.000155761,0.000155761,0.000155761
20,9722.45,1.08386,0.74597,0.9013,0.86495,0.46685,0.55666,0.34489,1.10498,0.73855,0.92179,8.50255e-05,8.50255e-05,8.50255e-05
