frame,id,x,y,width,height,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
1,1,1141.9301147460938,463.3783435821533,110.851318359375,86.78512573242188,362.87082,279.72232,0.851948,377.92807,299.1236,0.87848127,373.0032,284.71036,0.03805586,395.29724,296.0055,0.3353574,404.43707,279.60123,0.0027187837,384.79037,300.19513,0.0024658556,386.31012,299.07144,0.00038127883,361.03473,287.67307,0.0014604832,390.33432,284.88385,0.00041724276,360.52084,287.6927,0.0012644184
1,2,871.8421325683594,334.53384590148926,40.55108642578125,37.969573974609375,284.72522,201.66641,0.8017724,287.82056,208.74947,0.8279852,290.2245,202.17894,0.21072927,297.1092,207.7084,0.5379315,300.98276,200.6784,0.024534885,292.39136,211.54056,0.020821098,289.6737,210.22488,0.01022034,284.3576,202.82039,0.018254576,296.27817,200.90187,0.00823847,280.16324,204.23918,0.012863972
1,3,828.9428100585938,278.7314786911011,24.83642578125,23.080095291137695,273.43048,167.83997,0.7144587,274.66376,171.51318,0.7450924,277.29498,167.5834,0.34976017,280.0515,171.1627,0.5854675,282.04538,169.09505,0.045925166,277.5395,173.63504,0.03715808,276.78165,170.62067,0.025199573,272.6147,166.24602,0.03948074,278.81866,163.60143,0.022351544,268.60995,168.5617,0.026386376
1,4,989.7916259765625,309.82593727111816,35.035400390625,25.417762756347656,335.0232,190.36298,0.69391686,332.90884,188.00012,0.642851,328.17206,190.20308,0.5515808,324.88574,186.71278,0.595633,322.523,186.02214,0.03962598,329.19492,191.00606,0.02874166,330.78647,187.5637,0.02817321,330.4774,186.59482,0.031416968,332.97418,186.14767,0.018186206,324.38855,185.65672,0.019166032
1,5,879.00439453125,247.28199005126953,18.5899658203125,13.815427780151367,295.49533,150.71101,0.64628327,293.41525,148.35376,0.60769665,291.28244,149.45094,0.60431224,290.36325,148.85776,0.5988875,290.74057,147.86665,0.05362226,292.82648,151.29688,0.044527575,294.1523,146.45659,0.0378436,292.10526,145.84853,0.045096707,293.35248,145.60504,0.02722416,284.44418,151.65538,0.035658244
1,6,911.3692016601562,267.0864772796631,25.42694091796875,19.83863067626953,306.18143,162.99664,0.62924147,305.04205,160.59212,0.5962352,301.9903,162.79803,0.62759775,300.60986,160.49536,0.6112352,299.63065,160.27455,0.04282594,302.2954,163.91234,0.026218401,302.63486,158.03731,0.024820644,302.37604,158.37578,0.028161092,299.6671,158.28128,0.017395565,294.1814,160.94218,0.02109057
2,1,1142.8743896484375,464.1782684326172,111.4398193359375,86.91866111755371,363.37994,280.24948,0.856127,378.17282,299.612,0.88170516,373.55997,285.16885,0.03717879,395.51047,296.5311,0.33302695,404.99796,280.08276,0.002667879,385.20352,300.81638,0.0022733503,386.35617,299.6075,0.0003556581,361.51642,288.1416,0.0013873455,390.77325,285.21744,0.0003944737,360.4441,287.98663,0.0011575249
2,2,873.5798950195312,336.932822227478,42.50079345703125,39.503042221069336,285.50113,202.98228,0.76136035,288.3094,210.28012,0.791333,291.464,203.68619,0.2346563,297.7745,209.4655,0.56166047,300.53946,204.39322,0.0413646,292.99503,211.88664,0.049678847,292.29074,209.01274,0.022137502,283.6331,203.22185,0.03913518,293.87323,200.7105,0.020991769,282.50247,206.68877,0.03363746
2,3,829.6301879882812,280.81350803375244,24.6064453125,22.89470100402832,273.55283,169.1697,0.71185815,274.85278,172.82991,0.7445135,277.45862,168.83095,0.34505263,280.34332,172.46162,0.5742588,282.45068,170.21779,0.043269005,277.65744,175.13103,0.03146961,276.63962,172.04657,0.021946426,273.16824,167.5744,0.034885734,278.966,165.11305,0.019445905,268.24396,169.67139,0.02232336
2,4,989.2078857421875,310.82649993896484,34.236236572265625,26.72280979156494,334.74997,191.24971,0.69407994,332.76056,188.94023,0.64598393,327.9556,191.09367,0.5463898,324.94006,187.58185,0.590384,322.4502,186.84007,0.03712642,329.03552,192.09113,0.025495127,330.57617,188.57576,0.0249498,330.41162,187.49861,0.028322536,332.7837,187.17268,0.015886579,324.06735,186.67978,0.016785521
2,5,879.0214233398438,247.780855178833,17.92034912109375,13.111650466918945,295.5496,151.02402,0.64198416,293.43713,148.6332,0.6057979,291.30994,149.6563,0.60897976,290.54645,149.08957,0.60088605,290.7076,148.11147,0.053966265,292.80258,151.55768,0.0444967,294.19556,146.53198,0.03794463,292.16217,145.9998,0.044859402,293.01907,145.95868,0.027011808,284.37372,152.02014,0.035632897
2,6,910.8648376464844,267.70152282714844,24.97320556640625,19.144251823425293,306.02594,163.31883,0.63244057,304.9278,160.80602,0.59732264,301.70688,163.17422,0.62471414,300.40714,160.69806,0.61099803,299.21808,160.59145,0.04373519,302.11697,164.19257,0.026901424,302.4548,158.38611,0.025495932,302.26385,158.78168,0.029110204,299.5399,158.54602,0.018249622,294.31155,161.1762,0.021267878
3,1,1144.089111328125,463.8478546142578,112.61453247070312,86.92154502868652,363.74753,280.2008,0.86052865,378.9584,299.604,0.88782847,373.47974,284.80527,0.03497,395.99023,296.79102,0.33064818,405.28275,279.81036,0.002818502,386.12335,301.07397,0.002411051,386.28595,299.3169,0.00038072604,361.66428,287.92654,0.0014640355,390.29434,284.9979,0.00041554033,360.50726,287.90228,0.0012233737
3,2,874.7609252929688,337.69515323638916,43.0447998046875,40.767019271850586,285.67957,203.43443,0.7730338,288.79492,211.06801,0.8021851,291.67877,204.17184,0.2180708,298.4695,210.25558,0.5560864,301.51672,204.70648,0.038882855,293.6222,212.85829,0.045335542,292.35287,209.75864,0.019737603,283.76428,203.87764,0.03549446,293.91428,201.32687,0.018896079,282.26215,207.31213,0.030065602
3,3,830.5107421875,281.3898525238037,24.869293212890625,23.18437957763672,273.57782,169.7174,0.7157959,274.97937,173.46724,0.75033075,277.54822,169.37474,0.33722997,280.64777,173.12129,0.56915706,282.84366,170.6503,0.042154994,277.87903,175.87776,0.029260317,276.49826,172.8261,0.02061797,273.39093,168.20114,0.033008337,279.0946,165.8171,0.018178478,268.15552,170.25102,0.020619087
3,4,988.4620056152344,309.17399311065674,32.37908935546875,25.608821868896484,334.23062,189.48943,0.6977301,332.39932,187.42644,0.646977,327.42218,189.2907,0.5346772,324.8077,186.166,0.59352034,322.38107,185.29031,0.041912377,328.84164,190.2536,0.03382945,330.5116,186.98837,0.032192275,329.64978,186.00023,0.035545755,332.7468,185.42714,0.021034215,324.41763,184.99551,0.02254974
3,5,878.1437072753906,246.7906951904297,17.52410888671875,13.280076026916504,295.3481,150.90004,0.6466753,293.2578,148.46126,0.6063959,290.91006,149.48055,0.6041159,290.32053,148.94801,0.5975995,290.75345,147.75458,0.052433528,292.70676,151.47813,0.04340123,294.20496,146.32277,0.037156347,292.12158,145.75308,0.043654773,293.12604,146.00378,0.026097255,284.2507,152.32253,0.034950614
