epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.41,1.8013,2.76276,2.80971,1.47517,0.53945,0.50195,0.51006,0.26268,0.53261,0.49572,0.49955,0.23242,1.5888,2.68157,2.46365,1.3872,0.000472523,0.000472523,0.000472523
1,335.955,1.80469,2.78105,2.90577,1.45348,0.69085,0.08558,0.26126,0.12362,0.69085,0.08558,0.24452,0.08895,1.6425,3.3623,3.27826,1.29871,0.000468772,0.000468772,0.000468772
2,845.183,1.59825,2.3541,1.9085,1.28011,0.58379,0.30566,0.3008,0.15439,0.58923,0.30467,0.30047,0.142,1.66625,2.55178,1.95103,1.38764,0.000926393,0.000926393,0.000926393
3,1541.86,1.54214,2.21854,1.69196,1.25514,0.60795,0.19429,0.18382,0.093,0.56572,0.18831,0.17484,0.07802,1.62653,2.85145,1.86007,1.4314,0.00136515,0.00136515,0.00136515
4,2326.19,1.54927,2.23914,1.5235,1.26343,0.60258,0.16591,0.15536,0.08996,0.59368,0.16351,0.15395,0.0854,1.5205,2.26118,1.91721,1.31506,0.00134412,0.00134412,0.00134412
5,2537.65,1.48193,2.12939,1.37601,1.25108,0.65473,0.22694,0.22106,0.12418,0.67483,0.22499,0.2211,0.12181,1.50045,2.27363,1.52609,1.33852,0.00131582,0.00131582,0.00131582
6,2754.97,1.48272,2.09383,1.25357,1.25342,0.61634,0.21134,0.21685,0.12803,0.61634,0.21134,0.21603,0.12487,1.45371,2.07675,1.14866,1.33569,0.00128753,0.00128753,0.00128753
7,3029.87,1.42748,2.02021,1.13515,1.22763,0.75145,0.19413,0.19737,0.12341,0.71754,0.18698,0.18931,0.11716,1.46405,2.05029,1.12721,1.3811,0.00125923,0.00125923,0.00125923
8,3361.21,1.47864,2.08046,1.15532,1.25746,0.70222,0.15436,0.16555,0.10386,0.69822,0.1535,0.164,0.09364,1.46042,2.10318,1.08412,1.36706,0.00123094,0.00123094,0.00123094
9,3728.55,1.41965,2.00678,1.08548,1.21056,0.70729,0.131,0.14454,0.08373,0.70176,0.12894,0.14299,0.08132,1.42107,2.00003,1.03133,1.28254,0.00120265,0.00120265,0.00120265
10,4169.93,1.38401,1.96137,0.98296,1.2064,0.83718,0.14442,0.183,0.1271,0.83718,0.14442,0.18329,0.11976,1.35798,1.97137,0.9066,1.26617,0.00117435,0.00117435,0.00117435
11,4587.53,1.38215,1.9461,0.96145,1.20691,0.89801,0.1773,0.19744,0.12624,0.89801,0.1773,0.19632,0.12024,1.3343,1.88588,0.85837,1.27596,0.00114606,0.00114606,0.00114606
